question,option,class
How is your tolerance to heat?,Tolerates heat but gets overheated,Pitta
How is your tolerance to heat?,Comfortable in hot weather,Kapha
How do you handle conflicts?,Avoids conflicts dislikes confrontation,Vata
How do you handle conflicts?,Assertive can become argumentative,Pitta
How do you handle conflicts?,Calm and diplomatic,Kapha
How is your sense of smell?,Sensitive to odors easily overwhelmed,Vata
How is your sense of smell?,Moderate sensitivity can detect subtle scents,Pitta
How is your sense of smell?,Steady and stable rarely affected,Kapha
How is your response to cold foods?,Dislikes cold foods prefers warm meals,Vata
How is your response to cold foods?,Tolerates cold foods but prefers warm,Pitta
How is your response to cold foods?,Enjoys cold foods and beverages,Kapha
How is your endurance for mental tasks?,Variable gets mentally fatigued easily,Vata
How is your endurance for mental tasks?,Focused but can become impatient,Pitta
How is your endurance for mental tasks?,Steady and patient,Kapha
How do you approach changes in routine?,Resistant to change prefers consistency,Vata
How do you approach changes in routine?,Adaptable but can become restless,Pitta
How do you approach changes in routine?,Accepting of change adapts easily,Kapha
How is your response to cold weather?,Cold-sensitive and shivering,Vata
How is your response to cold weather?,Tolerates cold but dislikes it,Pitta
How is your response to cold weather?,Comfortable and warm in the cold,Kapha
How do you handle surprises?,Startled and anxious,Vata
How do you handle surprises?,Excited but can become overwhelmed,Pitta
How do you handle surprises?,Calm and composed,Kapha
How is your sense of taste?,Sensitive can detect subtle flavors,Vata
How is your sense of taste?,Strong and discerning,Pitta
How is your sense of taste?,Steady prefers balanced tastes,Kapha
How is your response to humidity?,Dislikes humidity feels uncomfortable,Vata
How is your response to humidity?,Tolerates humidity but gets irritated,Pitta
How is your response to humidity?,Comfortable in humid conditions,Kapha
How is your nail texture?,Brittle and prone to breakage,Vata
How is your nail texture?,Moderate not too strong or weak,Pitta
How is your nail texture?,Strong and well-nourished,Kapha
How do you handle crowded spaces?,Anxious and claustrophobic,Vata
How do you handle crowded spaces?,Tolerant but can get agitated,Pitta
How do you handle crowded spaces?,Calm and composed,Kapha
How is your sense of touch?,Sensitive easily feel textures,Vata
How is your sense of touch?,Moderate can feel but not overly sensitive,Pitta
How is your sense of touch?,Steady and stable rarely affected,Kapha
How do you approach intellectual challenges?,Curious but easily distracted,Vata
How do you approach intellectual challenges?,Focused but can become critical,Pitta
How do you approach intellectual challenges?,Steady and patient,Kapha
How is your emotional resilience?,Variable prone to mood swings,Vata
How is your emotional resilience?,Strong but can get irritated,Pitta
How is your emotional resilience?,Steady and emotionally stable,Kapha
How do you handle long periods of sitting?,Restless and uncomfortable,Vata
How do you handle long periods of sitting?,Focused but can become impatient,Pitta
How do you handle long periods of sitting?,Comfortable and patient,Kapha
How is your response to dry climates?,Dry and uncomfortable,Vata
How is your response to dry climates?,Tolerates dryness but may become irritable,Pitta
How is your response to dry climates?,Comfortable and well-hydrated,Kapha
How is your decision-making in a crisis?,Indecisive and anxious,Vata
How is your decision-making in a crisis?,Quick but can be impulsive,Pitta
How is your decision-making in a crisis?,Calm and methodical,Kapha
How is your response to pollen and allergens?,Sensitive to allergens prone to allergies,Vata
How is your response to pollen and allergens?,Tolerant but can get irritated,Pitta
How is your response to pollen and allergens?,Steady and rarely affected,Kapha
How do you handle excess stimulation?,Overwhelmed and anxious,Vata
How do you handle excess stimulation?,Excited but can become restless,Pitta
How do you handle excess stimulation?,Calm and composed,Kapha
How is your response to loud music?,Sensitive to loud sounds easily disturbed,Vata
How is your response to loud music?,Tolerant but may become irritated,Pitta
How is your response to loud music?,Calm and unaffected,Kapha
How do you handle setbacks?,Anxious and discouraged,Vata
How do you handle setbacks?,Determined but can get frustrated,Pitta
How do you handle setbacks?,Calm and resilient,Kapha
How is your response to spicy foods?,Sensitive to spices avoids spicy foods,Vata
How is your response to spicy foods?,Loves spicy foods and can tolerate them,Pitta
How is your response to spicy foods?,Moderate spice tolerance prefers milder flavors,Kapha
How is your response to cold drafts?,Sensitive to drafts gets chilly easily,Vata
How is your response to cold drafts?,Tolerates drafts but dislikes them,Pitta
How is your response to cold drafts?,Comfortable in drafts and doesn't get cold,Kapha
How do you handle unexpected changes?,Anxious and resistant,Vata
How do you handle unexpected changes?,Adaptable but can be impatient,Pitta
How do you handle unexpected changes?,Accepting and steady,Kapha
How is your response to pollen and allergens?,Sensitive to allergens prone to allergies,Vata
How is your response to pollen and allergens?,Tolerant but may become irritated,Pitta
How is your response to pollen and allergens?,Steady and rarely affected,Kapha
How do you handle social gatherings?,Anxious and uncomfortable,Vata
How do you handle social gatherings?,Confident but can become competitive,Pitta
How do you handle social gatherings?,Calm and inclusive,Kapha
How is your response to excessive noise?,Sensitive to noise easily disturbed,Vata
How is your response to excessive noise?,Tolerant but may get irritated,Pitta
How is your response to excessive noise?,Calm and unaffected,Kapha
How do you approach financial decisions?,Impulsive and risky,Vata
How do you approach financial decisions?,Prudent but can become critical,Pitta
How do you approach financial decisions?,Steady and cautious,Kapha
How do you handle criticism?,Sensitive and easily hurt,Vata
How do you handle criticism?,Assertive but can become defensive,Pitta
How do you handle criticism?,Calm and open to feedback,Kapha
How is your sense of smell?,Sensitive to odors easily overwhelmed,Vata
How is your sense of smell?,Moderate sensitivity can detect subtle scents,Pitta
How is your sense of smell?,Steady and stable rarely affected,Kapha
How is your hair texture?,Dry and coarse,Vata
How is your hair texture?,Fine and prone to oiliness,Pitta
How is your hair texture?,Thick and lustrous,Kapha
How is your response to changes in weather?,Sensitive to weather changes discomfort,Vata
How is your response to changes in weather?,Tolerant but can get affected,Pitta
How is your response to changes in weather?,Steady and unaffected,Kapha
How do you handle criticism?,Sensitive and easily hurt,Vata
How do you handle criticism?,Assertive but can become defensive,Pitta
How do you handle criticism?,Calm and open to feedback,Kapha
How is your sense of taste?,Sensitive can detect subtle flavors,Vata
How is your sense of taste?,Strong and discerning,Pitta
How is your sense of taste?,Steady prefers balanced tastes,Kapha
How do you handle physical challenges?,Challenged and prone to injuries,Vata
How do you handle physical challenges?,Competitive but can overexert,Pitta
How do you handle physical challenges?,Steady and persistent,Kapha
How is your response to spicy foods?,Sensitive to spices avoids spicy foods,Vata
How is your response to spicy foods?,Loves spicy foods and can tolerate them,Pitta
How is your response to spicy foods?,Moderate spice tolerance prefers milder flavors,Kapha
How do you handle unexpected changes?,Anxious and resistant,Vata
How do you handle unexpected changes?,Adaptable but can be impatient,Pitta
How do you handle unexpected changes?,Accepting and steady,Kapha
How is your response to extreme temperatures?,Intolerant of extreme temperatures discomfort,Vata
How is your response to extreme temperatures?,Tolerates but doesn't prefer extremes,Pitta
How is your response to extreme temperatures?,Comfortable in extreme temperatures,Kapha
How do you handle conflicts?,Avoids conflicts dislikes confrontation,Vata
How do you handle conflicts?,Assertive but can become argumentative,Pitta
How do you handle conflicts?,Calm and diplomatic,Kapha
How do you approach change in routine?,Resistant to change prefers consistency,Vata
How do you approach change in routine?,Adaptable but can become restless,Pitta
How do you approach change in routine?,Accepting of change adapts easily,Kapha
How is your response to pollution and smog?,Sensitive discomfort and health issues,Vata
How is your response to pollution and smog?,Tolerant but can get affected,Pitta
How is your response to pollution and smog?,Resilient and unaffected,Kapha
How do you handle social situations?,Anxious and introverted,Vata
How do you handle social situations?,Confident but can become competitive,Pitta
How do you handle social situations?,Calm and inclusive,Kapha
How is your response to bright lights?,Sensitive to bright lights discomfort,Vata
How is your response to bright lights?,Tolerant but can get irritated,Pitta
How is your response to bright lights?,Comfortable and unaffected,Kapha
How do you handle surprises?,Startled and anxious,Vata
How do you handle surprises?,Excited but can become overwhelmed,Pitta
How do you handle surprises?,Calm and composed,Kapha
How is your emotional resilience?,Variable prone to mood swings,Vata
How is your emotional resilience?,Strong but can get irritated,Pitta
How is your emotional resilience?,Steady and emotionally stable,Kapha
How do you handle financial decisions?,Impulsive and risky,Vata
How do you handle financial decisions?,Prudent but can become critical,Pitta
How do you handle financial decisions?,Steady and cautious,Kapha
How is your voice tone?,Variable can speak quickly,Vata
How is your voice tone?,Strong and assertive,Pitta
How is your voice tone?,Steady and melodious,Kapha
How do you respond to changes in routine?,Resistant to change prefers consistency,Vata
How do you respond to changes in routine?,Adaptable but can become restless,Pitta
How do you respond to changes in routine?,Accepting of change adapts easily,Kapha
How do you approach problem-solving?,Quick but can be impulsive,Vata
How do you approach problem-solving?,Focused but can become critical,Pitta
How do you approach problem-solving?,Steady and patient,Kapha
How do you handle excess stimulation?,Overwhelmed and anxious,Vata
How do you handle excess stimulation?,Excited but can become restless,Pitta
How do you handle excess stimulation?,Calm and composed,Kapha
How is your physical flexibility?,Stiff and prone to muscle cramps,Vata
How is your physical flexibility?,Moderate prone to inflammation,Pitta
How is your physical flexibility?,Supple and rarely experiences stiffness,Kapha
How do you handle criticism?,Sensitive and easily hurt,Vata
How do you handle criticism?,Assertive but can become defensive,Pitta
How do you handle criticism?,Calm and open to feedback,Kapha
How is your response to cold drafts?,Sensitive to drafts gets chilly easily,Vata
How is your response to cold drafts?,Tolerates drafts but dislikes them,Pitta
How is your response to cold drafts?,Comfortable in drafts and doesn't get cold,Kapha
How is your sense of touch?,Sensitive easily feel textures,Vata
How is your sense of touch?,Moderate can feel but not overly sensitive,Pitta
How is your sense of touch?,Steady and stable rarely affected,Kapha
How do you handle physical challenges?,Challenged and prone to injuries,Vata
How do you handle physical challenges?,Competitive but can overexert,Pitta
How do you handle physical challenges?,Steady and persistent,Kapha
How do you approach creativity?,Creative but easily distracted,Vata
How do you approach creativity?,Focused but can become critical,Pitta
How do you approach creativity?,Steady and patient,Kapha
How do you handle social gatherings?,Anxious and uncomfortable,Vata
How do you handle social gatherings?,Confident but can become competitive,Pitta
How do you handle social gatherings?,Calm and inclusive,Kapha
How is your response to excessive noise?,Sensitive to noise easily disturbed,Vata
How is your response to excessive noise?,Tolerant but may get irritated,Pitta
How is your response to excessive noise?,Calm and unaffected,Kapha
How do you handle setbacks?,Anxious and discouraged,Vata
How do you handle setbacks?,Determined but can get frustrated,Pitta
How do you handle setbacks?,Calm and resilient,Kapha
How is your response to bright colors?,Sensitive to bright colors discomfort,Vata
How is your response to bright colors?,Tolerant but may become irritable,Pitta
How is your response to bright colors?,Comfortable and unaffected,Kapha
How do you handle surprises?,Startled and anxious,Vata
How do you handle surprises?,Excited but can become overwhelmed,Pitta
How do you handle surprises?,Calm and composed,Kapha
How is your emotional resilience?,Variable prone to mood swings,Vata
How is your emotional resilience?,Strong but can get irritated,Pitta
How is your emotional resilience?,Steady and emotionally stable,Kapha
How do you handle financial decisions?,Impulsive and risky,Vata
How do you handle financial decisions?,Prudent but can become critical,Pitta
How do you handle financial decisions?,Steady and cautious,Kapha
How is your voice tone?,Variable can speak quickly,Vata
How is your voice tone?,Strong and assertive,Pitta
How is your voice tone?,Steady and melodious,Kapha
How do you respond to changes in routine?,Resistant to change prefers consistency,Vata
How do you respond to changes in routine?,Adaptable but can become restless,Pitta
How do you respond to changes in routine?,Accepting of change adapts easily,Kapha
How do you approach problem-solving?,Quick but can be impulsive,Vata
How do you approach problem-solving?,Focused but can become critical,Pitta
How do you approach problem-solving?,Steady and patient,Kapha
How do you handle excess stimulation?,Overwhelmed and anxious,Vata
How do you handle excess stimulation?,Excited but can become restless,Pitta
How do you handle excess stimulation?,Calm and composed,Kapha
How is your physical flexibility?,Stiff and prone to muscle cramps,Vata
How is your physical flexibility?,Moderate prone to inflammation,Pitta
How is your physical flexibility?,Supple and rarely experiences stiffness,Kapha
How do you handle criticism?,Sensitive and easily hurt,Vata
How do you handle criticism?,Assertive but can become defensive,Pitta
How do you handle criticism?,Calm and open to feedback,Kapha
How is your response to cold drafts?,Sensitive to drafts gets chilly easily,Vata
How is your response to cold drafts?,Tolerates drafts but dislikes them,Pitta
How is your response to cold drafts?,Comfortable in drafts and doesn't get cold,Kapha
How is your sense of touch?,Sensitive easily feel textures,Vata
How is your sense of touch?,Moderate can feel but not overly sensitive,Pitta
How is your sense of touch?,Steady and stable rarely affected,Kapha
How do you handle physical challenges?,Challenged and prone to injuries,Vata
How do you handle physical challenges?,Competitive but can overexert,Pitta
How do you handle physical challenges?,Steady and persistent,Kapha
How do you approach creativity?,Creative but easily distracted,Vata
How do you approach creativity?,Focused but can become critical,Pitta
How do you approach creativity?,Steady and patient,Kapha
How do you handle social gatherings?,Anxious and uncomfortable,Vata
How do you handle social gatherings?,Confident but can become competitive,Pitta
How do you handle social gatherings?,Calm and inclusive,Kapha
How is your response to excessive noise?,Sensitive to noise easily disturbed,Vata
How is your response to excessive noise?,Tolerant but may get irritated,Pitta
How is your response to excessive noise?,Calm and unaffected,Kapha
How do you handle setbacks?,Anxious and discouraged,Vata
How do you handle setbacks?,Determined but can get frustrated,Pitta
How do you handle setbacks?,Calm and resilient,Kapha
How is your response to crowded places?,Anxious and uncomfortable,Vata
How is your response to crowded places?,Confident but can become competitive,Pitta
How is your response to crowded places?,Calm and inclusive,Kapha
How do you handle criticism about your appearance?,Sensitive and easily hurt,Vata
How do you handle criticism about your appearance?,Assertive but can become defensive,Pitta
How do you handle criticism about your appearance?,Calm and open to feedback,Kapha
How is your response to spicy foods?,Sensitive to spices avoids spicy foods,Vata
How is your response to spicy foods?,Loves spicy foods and can tolerate them,Pitta
How is your response to spicy foods?,Moderate spice tolerance prefers milder flavors,Kapha
How do you handle emotional stress?,Anxious and overwhelmed,Vata
How do you handle emotional stress?,Irritable and prone to outbursts,Pitta
How do you handle emotional stress?,Calm and patient,Kapha
How is your response to sudden loud noises?,Startled and anxious,Vata
How is your response to sudden loud noises?,Excited but can become overwhelmed,Pitta
How is your response to sudden loud noises?,Calm and composed,Kapha
How do you approach new technology?,Curious but can be overwhelmed,Vata
How do you approach new technology?,Quick to adapt but can be impatient,Pitta
How do you approach new technology?,Cautious and methodical,Kapha
How do you handle physical injuries?,Prone to injuries and slow healing,Vata
How do you handle physical injuries?,Moderate healing but can be impatient,Pitta
How do you handle physical injuries?,Quick healing and minimal scarring,Kapha
How do you handle social conflicts?,Avoids conflicts dislikes confrontation,Vata
How do you handle social conflicts?,Assertive but can become argumentative,Pitta
How do you handle social conflicts?,Calm and diplomatic,Kapha
How is your response to caffeine?,Sensitive gets jittery easily,Vata
How is your response to caffeine?,Tolerant but can get hyper,Pitta
How is your response to caffeine?,Steady doesn't experience caffeine rush,Kapha
How do you approach financial risk?,Risk-averse prefers safe investments,Vata
How do you approach financial risk?,Moderate risk-taker seeks balanced investments,Pitta
How do you approach financial risk?,Comfortable with risk seeks high returns,Kapha
How is your response to hot beverages?,Dislikes hot beverages prefers cold,Vata
How is your response to hot beverages?,Tolerates hot beverages but may get heated,Pitta
How is your response to hot beverages?,Enjoys hot beverages comforts with warmth,Kapha
How do you handle changes in your daily routine?,Resistant to changes prefers consistency,Vata
How do you handle changes in your daily routine?,Adaptable but can become restless,Pitta
How do you handle changes in your daily routine?,Accepting of changes adapts easily,Kapha
How is your response to strong scents?,Sensitive to strong scents easily overwhelmed,Vata
How is your response to strong scents?,Tolerant but may get irritated,Pitta
How is your response to strong scents?,Calm and unaffected,Kapha
How do you handle work-related stress?,Anxious and overwhelmed,Vata
How do you handle work-related stress?,Irritable and prone to burnout,Pitta
How do you handle work-related stress?,Calm and steady rarely stressed,Kapha
How is your reaction to bright lights?,Sensitive to bright lights discomfort,Vata
How is your reaction to bright lights?,Tolerant but may become irritated,Pitta
How is your reaction to bright lights?,Comfortable and unaffected,Kapha
How do you handle clutter and disorganization?,Anxious and uncomfortable,Vata
How do you handle clutter and disorganization?,Frustrated but can be critical,Pitta
How do you handle clutter and disorganization?,Calm and patient prefers order,Kapha
How is your response to romantic relationships?,Excited but can become possessive,Pitta
How is your response to romantic relationships?,Calm and loyal seeks stability,Kapha
How is your response to romantic relationships?,Sensitive and prone to insecurity,Vata
How do you handle social situations?,Anxious and introverted,Vata
How do you handle social situations?,Confident but can become competitive,Pitta
How do you handle social situations?,Calm and inclusive,Kapha
How do you respond to change in weather?,Sensitive to weather changes discomfort,Vata
How do you respond to change in weather?,Tolerant but can get affected,Pitta
How do you respond to change in weather?,Steady and unaffected,Kapha
How is your response to sudden changes in plans?,Anxious and resistant,Vata
How is your response to sudden changes in plans?,Adaptable but can be impatient,Pitta
How is your response to sudden changes in plans?,Accepting and steady,Kapha
How is your reaction to spicy foods?,Sensitive to spices avoids spicy foods,Vata
How is your reaction to spicy foods?,Loves spicy foods and can tolerate them,Pitta
How is your reaction to spicy foods?,Moderate spice tolerance prefers milder flavors,Kapha
How do you handle emotional stress?,Anxious and overwhelmed,Vata
How do you handle emotional stress?,Irritable and prone to outbursts,Pitta
How do you handle emotional stress?,Calm and patient,Kapha
How is your response to sudden loud noises?,Startled and anxious,Vata
How is your response to sudden loud noises?,Excited but can become overwhelmed,Pitta
How is your response to sudden loud noises?,Calm and composed,Kapha
How do you approach new technology?,Curious but can be overwhelmed,Vata
How do you approach new technology?,Quick to adapt but can be impatient,Pitta
How do you approach new technology?,Cautious and methodical,Kapha
How do you handle physical injuries?,Prone to injuries and slow healing,Vata
How do you handle physical injuries?,Moderate healing but can be impatient,Pitta
How do you handle physical injuries?,Quick healing and minimal scarring,Kapha
How do you handle social conflicts?,Avoids conflicts dislikes confrontation,Vata
How do you handle social conflicts?,Assertive but can become argumentative,Pitta
How do you handle social conflicts?,Calm and diplomatic,Kapha
How is your response to caffeine?,Sensitive gets jittery easily,Vata
How is your response to caffeine?,Tolerant but can get hyper,Pitta
How is your response to caffeine?,Steady doesn't experience caffeine rush,Kapha
How do you approach financial risk?,Risk-averse prefers safe investments,Vata
How do you approach financial risk?,Moderate risk-taker seeks balanced investments,Pitta
How do you approach financial risk?,Comfortable with risk seeks high returns,Kapha
How is your response to hot beverages?,Dislikes hot beverages prefers cold,Vata
How is your response to hot beverages?,Tolerates hot beverages but may get heated,Pitta
How is your response to hot beverages?,Enjoys hot beverages comforts with warmth,Kapha
How do you handle changes in your daily routine?,Resistant to changes prefers consistency,Vata
How do you handle changes in your daily routine?,Adaptable but can become restless,Pitta
How do you handle changes in your daily routine?,Accepting of changes adapts easily,Kapha
How is your response to strong scents?,Sensitive to strong scents easily overwhelmed,Vata
How is your response to strong scents?,Tolerant but may get irritated,Pitta
How is your response to strong scents?,Calm and unaffected,Kapha
How do you handle work-related stress?,Anxious and overwhelmed,Vata
How do you handle work-related stress?,Irritable and prone to burnout,Pitta
How do you handle work-related stress?,Calm and steady rarely stressed,Kapha
How is your reaction to bright lights?,Sensitive to bright lights discomfort,Vata
How is your reaction to bright lights?,Tolerant but may become irritated,Pitta
How is your reaction to bright lights?,Comfortable and unaffected,Kapha
How do you handle clutter and disorganization?,Anxious and uncomfortable,Vata
How do you handle clutter and disorganization?,Frustrated but can be critical,Pitta
How do you handle clutter and disorganization?,Calm and patient prefers order,Kapha
How is your response to romantic relationships?,Excited but can become possessive,Pitta
How is your response to romantic relationships?,Calm and loyal seeks stability,Kapha
How is your response to romantic relationships?,Sensitive and prone to insecurity,Vata
How do you handle change in routines?,Resistant to change prefers consistency,Vata
How do you handle change in routines?,Adaptable but can become restless,Pitta
How do you handle change in routines?,Accepting of change adapts easily,Kapha
How do you respond to changes in the environment?,Sensitive to changes discomfort,Vata
How do you respond to changes in the environment?,Tolerant but can get affected,Pitta
How do you respond to changes in the environment?,Steady and unaffected,Kapha
How do you approach decision-making?,Indecisive and anxious,Vata
How do you approach decision-making?,Quick but can be impulsive,Pitta
How do you approach decision-making?,Calm and methodical,Kapha
How is your response to criticism?,Sensitive and easily hurt,Vata
How is your response to criticism?,Assertive but can become defensive,Pitta
How is your response to criticism?,Calm and open to feedback,Kapha
How is your reaction to unexpected news?,Startled and anxious,Vata
How is your reaction to unexpected news?,Excited but can become overwhelmed,Pitta
How is your reaction to unexpected news?,Calm and composed,Kapha
How do you handle physical discomfort?,Restless and uncomfortable,Vata
How do you handle physical discomfort?,Focused but can become impatient,Pitta
How do you handle physical discomfort?,Comfortable and patient,Kapha
How do you approach physical challenges?,Challenged and prone to injuries,Vata
How do you approach physical challenges?,Competitive but can overexert,Pitta
How do you approach physical challenges?,Steady and persistent,Kapha
How do you handle social gatherings?,Anxious and introverted,Vata
How do you handle social gatherings?,Confident but can become competitive,Pitta
How do you handle social gatherings?,Calm and inclusive,Kapha
How is your response to excessive noise?,Sensitive to noise easily disturbed,Vata
How is your response to excessive noise?,Tolerant but may get irritated,Pitta
How is your response to excessive noise?,Calm and unaffected,Kapha
How do you handle setbacks in life?,Anxious and discouraged,Vata
How do you handle setbacks in life?,Determined but can get frustrated,Pitta
How do you handle setbacks in life?,Calm and resilient,Kapha
How do you approach intellectual challenges?,Curious but easily distracted,Vata
How do you approach intellectual challenges?,Focused but can become critical,Pitta
How do you approach intellectual challenges?,Steady and patient,Kapha
How is your emotional resilience?,Variable prone to mood swings,Vata
How is your emotional resilience?,Strong but can get irritated,Pitta
How is your emotional resilience?,Steady and emotionally stable,Kapha
How is your response to cold drafts?,Sensitive to drafts gets chilly easily,Vata
How is your response to cold drafts?,Tolerates drafts but dislikes them,Pitta
How is your response to cold drafts?,Comfortable in drafts and doesn't get cold,Kapha
How do you handle surprises in life?,Startled and anxious,Vata
How do you handle surprises in life?,Excited but can become overwhelmed,Pitta
How do you handle surprises in life?,Calm and composed,Kapha
How is your sense of touch?,Sensitive easily feel textures,Vata
How is your sense of touch?,Moderate can feel but not overly sensitive,Pitta
How is your sense of touch?,Steady and stable rarely affected,Kapha
How do you handle social conflicts?,Avoids conflicts dislikes confrontation,Vata
How do you handle social conflicts?,Assertive but can become argumentative,Pitta
How do you handle social conflicts?,Calm and diplomatic,Kapha
How is your response to caffeine consumption?,Sensitive gets jittery easily,Vata
How is your response to caffeine consumption?,Tolerant but can get hyper,Pitta
How is your response to caffeine consumption?,Steady doesn't experience caffeine rush,Kapha
How do you handle stress at work?,Anxious and overwhelmed,Vata
How do you handle stress at work?,Irritable and prone to burnout,Pitta
How do you handle stress at work?,Calm and steady rarely stressed,Kapha
How do you approach new friendships?,Cautious and reserved,Vata
How do you approach new friendships?,Eager but can become overbearing,Pitta
How do you approach new friendships?,Friendly and inclusive,Kapha
How is your response to strong scents?,Sensitive to strong scents easily overwhelmed,Vata
How is your response to strong scents?,Tolerant but may get irritated,Pitta
How is your response to strong scents?,Calm and unaffected,Kapha
How do you handle work-related changes?,Anxious and resistant,Vata
How do you handle work-related changes?,Adaptable but can be impatient,Pitta
How do you handle work-related changes?,Accepting and steady,Kapha
How do you approach creative tasks?,Creative but easily distracted,Vata
How do you approach creative tasks?,Focused but can become critical,Pitta
How do you approach creative tasks?,Steady and patient,Kapha
How is your response to hot weather?,Intolerant of hot weather discomfort,Vata
How is your response to hot weather?,Tolerates hot weather but may get heated,Pitta
How is your response to hot weather?,Comfortable in hot weather,Kapha
How do you handle relationship conflicts?,Avoids conflicts dislikes confrontation,Vata
How do you handle relationship conflicts?,Assertive but can become argumentative,Pitta
How do you handle relationship conflicts?,Calm and diplomatic,Kapha
How is your response to excessive humidity?,Sensitive to humidity discomfort,Vata
How is your response to excessive humidity?,Tolerates humidity but can become irritable,Pitta
How is your response to excessive humidity?,Comfortable in humid conditions,Kapha
How do you handle unexpected expenses?,Anxious and stressed,Vata
How do you handle unexpected expenses?,Prudent but can become critical,Pitta
How do you handle unexpected expenses?,Calm and budget-conscious,Kapha
How do you approach physical fitness?,Energetic but can be inconsistent,Vata
How do you approach physical fitness?,Disciplined but can overexert,Pitta
How do you approach physical fitness?,Steady and enjoys regular exercise,Kapha
How is your response to intense emotions?,Overwhelmed and anxious,Vata
How is your response to intense emotions?,Excited but can become restless,Pitta
How is your response to intense emotions?,Calm and composed,Kapha
How do you handle criticism about your work?,Sensitive and easily hurt,Vata
How do you handle criticism about your work?,Assertive but can become defensive,Pitta
How do you handle criticism about your work?,Calm and open to feedback,Kapha
How is your response to crowded places?,Anxious and uncomfortable,Vata
How is your response to crowded places?,Confident but can become competitive,Pitta
How is your response to crowded places?,Calm and inclusive,Kapha
How do you handle surprises at work?,Startled and anxious,Vata
How do you handle surprises at work?,Excited but can become overwhelmed,Pitta
How do you handle surprises at work?,Calm and composed,Kapha
How is your emotional resilience?,Variable prone to mood swings,Vata
How is your emotional resilience?,Strong but can get irritated,Pitta
How is your emotional resilience?,Steady and emotionally stable,Kapha
How do you handle public speaking?,Anxious and uncomfortable,Vata
How do you handle public speaking?,Confident but can become competitive,Pitta
How do you handle public speaking?,Calm and engaging,Kapha
How do you handle unexpected changes?,Anxious and resistant,Vata
How do you handle unexpected changes?,Adaptable but can be impatient,Pitta
How do you handle unexpected changes?,Accepting and steady,Kapha
How is your response to sweet foods?,Sensitive to sweetness dislikes sugary foods,Vata
How is your response to sweet foods?,Enjoys sweets but can overindulge,Pitta
